male,female
countryman,countrywoman
fraternal,sororal
manservant,maidservant
divo,diva
actor,actress
bachelor,spinster
papa,mama
barman,barwoman
countrymen,countrywomen
brideprice,dowry
airmen,airwomen
andropause,menopause
penis,clitoris
prince,princess
governors,governesses
abbot,abbess
widower,widow
gentlemen,ladies
sir,madam
baron,baroness
nephew,niece
priest,nun
andrology,obstetrics
his,her
stallion,mare
chairman,chairwoman
monastery,convent
priests,priestesses
boyhood,girlhood
fellas,ladies
manservant,maid
semen,female_ejaculation
spokesman,spokeswoman
tailor,seamstress
cowboys,cowgirls
dude,chick
bachelors,spinsters
barbershop,hair_salon
emperor,empress
daddy,mommy
masculism,feminism
enchanter,enchantress
guy,gal
fatherhood,motherhood
androgen,estrogen
cameramen,camerawomen
godfather,godmother
strongman,strongwoman
god,goddess
patriarch,matriarch
chairmen,chairwomen
sir,ma'am
brotherhood,sisterhood
host,hostess
testosterone,estradiol
dad,mom
steward,stewardess
cialis,viagra
spokesmen,spokeswomen
pa,ma
beau,belle
stud,minx
bachelor,maiden
wizard,witch
sir,miss
fathered,mothered
bull,cow
councilmen,councilwomen
grandson,granddaughter
horsemen,horsewomen
adultor,adultress
schoolboy,schoolgirl
rooster,hen
grandsons,granddaughters
bachelor,bachelorette
cameraman,camerawoman
him,her
master,mistress
lad,lass
policeman,policewoman
monk,nun
actors,actresses
salesmen,saleswomen
boyfriend,girlfriend
councilman,councilwoman
fella,lady
statesman,stateswoman
paternal,maternal
chap,lass
landlord,landlady
brethren,sistren
fraternity,sorority
duke,duchess
ballet_dancer,ballerina
fiance,fiancee
suitor,suitress
paternity,maternity
he,she
businessman,businesswoman
hero,heroine
deer,doe
stepfather,stepmother
son,daughter
cowboy,cowgirl
mentleman,lady
baritone,mezzo
salesman,saleswoman
paramour,mistress
male_host,hostess
mr.,mrs.
congressman,congresswoman
airman,airwoman
priest,priestess
barmen,barwomen
handyman,handywoman
beard,toque
fraternities,sororities
colt,filly
czar,czarina
stepsons,stepdaughters
himself,herself
gentleman,lady
penis,vagina
masseur,masseuse
bloke,wench
hubby,wife
lion,lioness
sorcerer,sorceress
macho,effeminate
male,female
sperm,ovum
prostate,skene_gland
stepson,stepdaughter
prostatic_utricle,womb
businessmen,businesswomen
heir,heiress
waiter,waitress
headmaster,headmistress
governor,governess
god,godess
bridegroom,bride
grandpa,grandma
groom,bride
dude,gal
gay,lesbian
grandfather,grandmother
gelding,mare
paternity,maternity
prostatic_utricle,uterus
manservants,maidservants
stailor,seamstress'
busboy,busgirl
heros,heroines
countryman,countrywoman
fraternal,sororal
manservant,maidservant
divo,diva
actor,actress
bachelor,spinster
papa,mama
dukes,duchesses
barman,barwoman
countrymen,countrywomen
brideprice,dowry
airmen,airwomen
andropause,menopause
penis,clitoris
prince,princess
governors,governesses
abbot,abbess
men,women
widower,widow
gentlemen,ladies
sorcerers,sorceresses
sir,madam
bridegrooms,brides
baron,baroness
nephew,niece
lord,lady
brother,sister
grooms,brides
priest,nun
andrology,obstetrics
stallion,mare
chairman,chairwoman
monastery,convent
priests,priestesses
boyhood,girlhood
king,queen
dudes,gals
manservant,maid
semen,female_ejaculation
spokesman,spokeswoman
tailor,seamstress
dude,chick
barbershop,hair_salon
emperor,empress
daddy,mommy
masculism,feminism
guys,gals
enchanter,enchantress
guy,gal
fatherhood,motherhood
androgen,estrogen
cameramen,camerawomen
godfather,godmother
strongman,strongwoman
god,goddess
patriarch,matriarch
uncle,aunt
sir,ma'am
brotherhood,sisterhood
host,hostess
testosterone,estradiol
husband,wife
steward,stewardess
cialis,viagra
spokesmen,spokeswomen
pa,ma
stud,minx
bachelor,maiden
wizard,witch
sir,miss
fathered,mothered
bull,cow
councilmen,councilwomen
grandson,granddaughter
adultor,adultress
schoolboy,schoolgirl
rooster,hen
bachelor,bachelorette
cameraman,camerawoman
him,her
master,mistress
lad,lass
policeman,policewoman
monk,nun
salesmen,saleswomen
councilman,councilwoman
fella,lady
statesman,stateswoman
paternal,maternal
chap,lass
brethren,sistren
fraternity,sorority
bellboy,bellgirl
duke,duchess
ballet_dancer,ballerina
fiance,fiancee
suitor,suitress
paternity,maternity
businessman,businesswoman
hero,heroine
deer,doe
stepfather,stepmother
son,daughter
cowboy,cowgirl
mentleman,lady
sons,daughters
baritone,mezzo
salesman,saleswoman
paramour,mistress
male_host,hostess
mr.,mrs.
headmasters,headmistresses
congressman,congresswoman
airman,airwoman
househusband,housewife
priest,priestess
barmen,barwomen
handyman,handywoman
beard,toque
colt,filly
czar,czarina
himself,herself
gentleman,lady
penis,vagina
masseur,masseuse
bloke,wench
hubby,wife
lion,lioness
sorcerer,sorceress
macho,effeminate
father,mother
male,female
sperm,ovum
prostate,skene_gland
stepson,stepdaughter
prostatic_utricle,womb
businessmen,businesswomen
heir,heiress
waiter,waitress
headmaster,headmistress
man,woman
governor,governess
god,godess
bridegroom,bride
grandpa,grandma
groom,bride
dude,gal
gay,lesbian
boy,girl
gelding,mare
paternity,maternity
roosters,hens
prostatic_utricle,uterus
stailor,seamstress
busboy,busgirl
